ticket_id;permit_book;lot_code;delivery_date;crop;weight_tonnes;postal_code
00001;4520134343304084;3-2;2025-10-27;Barley;24,3;S0H 0A0
00002;4520833436837604;5-13;2025-09-14;Spring Wheat;24,0;S9H 4K5
00003;4520235009469088;2-10;2025-08-23;Canola;28,4;S0H 0A0
00004;4520644205362900;9-27;2025-10-15;Canola;18,9;S9H 4K5
00005;4520286626252092;8-24;2025-10-06;Durum;21,6;S0H 0A0
00006;4520971611358009;6-24;2025-09-20;Spring Wheat;30,2;S0N 0N0
00007;4520139528095665;2-21;2025-08-11;Barley;38,9;S0H 0A0
00008;4520390140704021;10-13;2025-10-02;Spring Wheat;37,8;S0H 0A0
00009;4520905213054018;5-7;2025-10-19;Canola;28,3;S0H 0A0
00010;4520507252586359;9-28;2025-08-28;Spring Wheat;23,2;S0N 0N0
00011;4520110161628232;4-14;2025-08-27;Canola;31,8;S0N 0N0
00012;4520659985846169;6-24;2025-09-25;Durum;31,5;S9H 4K5
00013;4520361475507471;7-13;2025-08-20;Barley;19,5;S0H 0A0
00014;4520621224364292;1-28;2025-08-15;Spring Wheat;33,8;S9H 4K5
00015;4520394318282283;9-13;2025-08-21;Durum;30,5;S0H 0A0
00016;4520924379995821;3-10;2025-10-23;Durum;40,5;S0N 0N0
00017;4520491418297887;6-21;2025-08-15;Barley;36,1;S0N 0N0
00018;4520447218655775;8-12;2025-10-23;Durum;29,0;S9H 4K5
00019;4520424935243825;6-12;2025-10-07;Lentils;25,9;S9H 4K5
00020;4520405009411146;2-4;2025-09-06;Lentils;25,1;S0N 0N0
