ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00101,4520634070034428,8-5,2025-09-19,Spring Wheat,21.1,14.1,Davidson,S0G 1B0
00102,4520716750135909,4-13,2025-09-17,Spring Wheat,42.5,8.4,Davidson,S0G 1B0
00103,4520393470422445,4-4,2025-08-13,Peas,25.1,10.7,Rosetown,S0L 2N0
00104,4520207634350457,1-10,2025-09-26,Oats,42.5,13.1,Davidson,S7K 3J7
00105,4520811457125823,8-9,2025-09-27,Barley,25.2,9.3,Rosetown,S0G 1B0
00106,4520403735366272,8-2,2025-11-05,Spring Wheat,22.8,12.4,Outlook,S0L 2V0
00107,4520564046930113,4-4,2025-09-05,Canola,20.4,8.9,Biggar,S0K 0M0
00108,4520484745987660,4-12,2025-11-06,Canola,31.7,12.2,Biggar,S0L 2N0
00109,4520899232113750,2-5,2025-08-16,Spring Wheat,24.1,10.7,Rosetown,S0L 2V0
00110,4520127672220109,5-11,2025-10-19,Canola,26.5,14.1,Kindersley,S0L 2N0
00111,4520430639060820,5-14,2025-10-21,Peas,23.1,10.3,Biggar,S0K 0M0
00112,4520659469705903,5-7,2025-11-10,Peas,35.7,12.7,Rosetown,S0L 2N0
00113,4520992478758035,5-7,2025-10-07,Peas,22.5,10.7,Rosetown,S0L 2V0
00114,4520481766359452,9-2,2025-10-10,Spring Wheat,40.1,12.0,Kindersley,S7K 3J7
00115,4520251437955025,5-15,2025-10-19,Oats,19.8,8.3,Biggar,S0L 2N0
00116,4520630390403961,8-7,2025-09-03,Barley,22.3,10.8,Biggar,S0L 2V0
00117,4520272313389591,4-14,2025-10-12,Canola,27.3,13.3,Biggar,S0G 1B0
00118,4520540794252939,7-1,2025-09-07,Barley,41.8,13.7,Outlook,S0G 1B0
00119,4520819641343402,5-12,2025-09-20,Canola,20.8,9.8,Kindersley,S7K 3J7
00120,4520093948166682,1-5,2025-09-15,Barley,27.8,11.5,Rosetown,S0L 1S0
