ticket_id;permit_book;lot_code;delivery_date;crop;weight_tonnes;moisture_pct;elevator;postal_code
00201;4520596168550132;3-14;2025-08-22;Barley;42,4;12,9;Rosetown;S0K 0M0
00202;4520972958323089;1-7;2025-10-15;Peas;20,8;9,1;Kindersley;S0L 1S0
00203;4520815364637331;6-5;2025-09-20;Barley;39,7;10,8;Kindersley;S0L 2N0
00204;4520151249857467;4-12;2025-10-12;Spring Wheat;37,6;13,5;Kindersley;S0L 1S0
00205;4520823657996456;9-7;2025-11-04;Spring Wheat;43,0;14,9;Kindersley;S0L 2V0
00206;4520314434312641;9-12;2025-11-27;Oats;26,8;11,7;Davidson;S0L 1S0
00207;4520983780291077;1-8;2025-11-19;Canola;37,9;10,1;Davidson;S0G 1B0
00208;4520558899707974;7-15;2025-09-23;Oats;28,0;13,2;Outlook;S0G 1B0
00209;4520664212345840;6-12;2025-11-19;Oats;37,3;10,0;Kindersley;S0L 1S0
00210;4520482315390220;1-4;2025-09-13;Barley;26,0;8,2;Rosetown;S0L 1S0
00211;4520034364671936;7-1;2025-09-11;Spring Wheat;29,0;11,5;Kindersley;S7K 3J7
00212;4520203453698867;8-11;2025-10-04;Peas;42,2;10,4;Biggar;S0L 1S0
00213;4520367835063176;5-14;2025-09-04;Oats;28,5;8,6;Biggar;S0K 0M0
00214;4520059325801631;1-9;2025-09-20;Canola;20,3;8,1;Davidson;S0G 1B0
00215;4520456631190704;1-12;2025-10-14;Oats;33,9;8,6;Outlook;S0G 1B0
00216;4520563162663446;5-3;2025-08-28;Canola;38,4;15,0;Rosetown;S0L 2N0
00217;4520463482796679;9-15;2025-11-22;Spring Wheat;30,3;11,8;Davidson;S0K 0M0
00218;4520296110733462;7-14;2025-09-02;Oats;19,9;13,0;Rosetown;S0L 2V0
00219;4520555340000822;4-4;2025-09-23;Canola;18,3;11,7;Kindersley;S0K 0M0
00220;4520408286301101;4-8;2025-08-09;Oats;37,2;8,3;Outlook;S7K 3J7
