ticket_id	permit_book	lot_code	delivery_date	crop	weight_tonnes	moisture_pct	elevator	postal_code
00301	4520632862659456	3-4	2025-11-22	Spring Wheat	18.6	8.8	Biggar	S0L 1S0
00302	4520888203095927	3-1	2025-11-09	Canola	23.9	11.9	Kindersley	S0L 1S0
00303	4520460182110513	6-12	2025-10-17	Peas	36.8	11.3	Outlook	S0L 1S0
00304	4520323585257225	4-1	2025-10-16	Barley	42.6	13.5	Rosetown	S0L 2V0
00305	4520188127507706	1-1	2025-11-10	Oats	24.8	14.8	Rosetown	S0L 2V0
00306	4520686759548214	6-4	2025-11-27	Oats	40.9	9.4	Kindersley	S0L 1S0
00307	4520826485969520	3-15	2025-10-07	Spring Wheat	26.9	12.8	Kindersley	S0G 1B0
00308	4520413390142211	3-7	2025-08-11	Spring Wheat	37.9	13.1	Davidson	S0L 1S0
00309	4520082370014113	6-3	2025-10-12	Spring Wheat	39.4	14.7	Outlook	S0G 1B0
00310	4520565229898200	1-10	2025-10-25	Peas	19.2	10.2	Biggar	S0L 2N0
00311	4520737731792167	1-4	2025-08-20	Peas	41.9	14.5	Biggar	S0K 0M0
00312	4520995720369200	7-3	2025-10-01	Oats	18.3	12.0	Rosetown	S7K 3J7
00313	4520211992255291	3-8	2025-09-26	Peas	37.2	15.0	Outlook	S0L 2V0
00314	4520949893937930	5-10	2025-09-05	Barley	42.1	15.3	Kindersley	S0K 0M0
00315	4520450699945269	5-10	2025-10-26	Peas	19.2	13.0	Rosetown	S0K 0M0
00316	4520866793278161	1-8	2025-10-05	Oats	38.7	15.4	Outlook	S0G 1B0
00317	4520416645960705	2-9	2025-09-04	Barley	28.9	8.1	Rosetown	S0L 2N0
00318	4520972050863690	5-11	2025-09-13	Barley	25.6	11.4	Outlook	S0L 2V0
00319	4520603667676663	8-4	2025-11-12	Oats	20.6	14.8	Rosetown	S0L 2N0
00320	4520522787467238	4-1	2025-10-06	Oats	36.9	15.1	Rosetown	S0L 2N0
