ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00401,4520884213079072,4-4,2025-08-15,Peas,39.6,14.2,Kindersley,S0L 1S0
00402,4520014073617562,8-8,2025-09-21,Barley,43.8,-99,Rosetown,S0L 2N0
00403,4520035622939857,2-7,2025-11-03,Spring Wheat,30.7,13.3,Rosetown,S0L 1S0
00404,4520872841153596,5-15,2025-11-27,Spring Wheat,28.7,9.4,Davidson,S0L 2V0
00405,4520978981452228,5-5,2025-08-28,Canola,41.5,11.4,Davidson,S0L 1S0
00406,4520715052912537,5-5,2025-08-21,Oats,30.5,12.0,Outlook,S0L 2N0
00407,4520022577336313,3-1,2025-10-06,Oats,38.1,9.9,Davidson,S0G 1B0
00408,4520323434326330,3-7,2025-10-17,Barley,32.0,9.6,Davidson,S0G 1B0
00409,4520132206830169,5-5,2025-08-14,Oats,39.1,-99,Outlook,S0L 1S0
00410,4520290403976858,4-1,2025-11-28,Peas,33.5,n/a,Kindersley,S0L 2N0
00411,4520744562308071,5-15,2025-09-15,Peas,29.2,13.2,Rosetown,S0L 1S0
00412,4520512324187770,9-6,2025-10-09,Oats,21.7,-99,Davidson,S7K 3J7
00413,4520445249462488,4-3,2025-10-05,Spring Wheat,23.1,13.9,Biggar,S0K 0M0
00414,4520356334703181,6-5,2025-11-04,Barley,29.9,10.2,Biggar,S0L 2N0
00415,4520068770691610,4-14,2025-10-26,Canola,40.5,10.3,Rosetown,S0L 1S0
00416,4520741623956288,4-12,2025-11-27,Barley,38.8,11.2,Davidson,S0L 2V0
00417,4520827941785569,8-11,2025-10-23,Barley,32.0,11.8,Davidson,S0L 1S0
00418,4520647551675908,8-13,2025-10-08,Canola,26.7,15.3,Kindersley,S0K 0M0
00419,4520322468561932,6-11,2025-11-17,Spring Wheat,21.3,15.1,Davidson,S0L 1S0
00420,4520510908577893,9-5,2025-10-18,Oats,24.4,n/a,Kindersley,S0K 0M0
