Rosetown elevator -- fall 2025 deliveries
Exported from the ticket system on 2025-12-01

ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00501,4520501880945211,7-9,2025-10-17,Peas,29.2,12.2,Davidson,S0L 2N0
00502,4520874244615501,9-15,2025-11-23,Oats,36.7,10.1,Biggar,S0L 2N0
00503,4520315458313792,6-8,2025-11-05,Barley,42.6,14.8,Kindersley,S0G 1B0
00504,4520341757696690,8-10,2025-09-07,Oats,37.0,12.8,Davidson,S0G 1B0
00505,4520901159766316,2-4,2025-08-04,Canola,28.1,14.8,Biggar,S0G 1B0
00506,4520003908518938,9-4,2025-09-04,Oats,38.8,11.2,Rosetown,S0L 2V0
00507,4520656363204253,2-8,2025-09-27,Barley,35.6,12.6,Davidson,S0L 2N0
00508,4520805240544322,1-9,2025-10-14,Barley,28.5,9.1,Biggar,S0L 2V0
00509,4520765461845589,3-11,2025-10-26,Canola,24.5,9.0,Rosetown,S0L 1S0
00510,4520819195723182,5-9,2025-08-21,Canola,28.1,8.1,Rosetown,S0G 1B0
00511,4520882970431177,6-12,2025-09-26,Canola,23.8,11.6,Rosetown,S0G 1B0
00512,4520546005604021,9-3,2025-11-01,Spring Wheat,23.4,7.8,Kindersley,S0K 0M0
00513,4520001422954963,1-4,2025-11-19,Oats,33.4,10.5,Davidson,S0K 0M0
00514,4520231940157380,1-12,2025-10-07,Spring Wheat,20.6,9.7,Outlook,S0G 1B0
00515,4520590024813079,9-1,2025-10-12,Oats,20.1,9.9,Outlook,S0L 2N0
00516,4520151069117190,3-7,2025-08-08,Canola,19.6,13.7,Rosetown,S0L 2N0
00517,4520854402105555,6-1,2025-11-16,Spring Wheat,18.4,11.3,Outlook,S0G 1B0
00518,4520169530759474,4-8,2025-08-10,Peas,32.0,11.9,Biggar,S7K 3J7
00519,4520113833697435,9-4,2025-10-04,Spring Wheat,33.4,11.5,Davidson,S7K 3J7
00520,4520145978439364,5-12,2025-08-11,Barley,27.2,13.6,Rosetown,S0G 1B0
