ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
,,,yyyy-mm-dd,,t,%,,
00601,4520299272253083,2-9,2025-08-19,Canola,40.5,9.5,Rosetown,S0L 2N0
00602,4520127680271919,5-12,2025-10-28,Peas,24.6,12.7,Rosetown,S0L 2N0
00603,4520192866938790,6-2,2025-10-11,Peas,24.6,14.7,Kindersley,S0L 2N0
00604,4520960139639007,9-1,2025-10-24,Oats,33.6,9.4,Biggar,S0L 2N0
00605,4520411792205604,4-5,2025-10-04,Canola,19.8,12.7,Rosetown,S0L 1S0
00606,4520044030760075,1-1,2025-11-09,Barley,39.4,11.4,Outlook,S0L 2V0
00607,4520023910590372,3-15,2025-10-27,Peas,27.0,11.4,Outlook,S0L 2V0
00608,4520236314508689,3-5,2025-10-08,Peas,31.5,12.2,Biggar,S0L 2V0
00609,4520999683779446,1-1,2025-10-23,Canola,37.3,12.1,Biggar,S0K 0M0
00610,4520094563484406,4-3,2025-09-07,Spring Wheat,32.8,14.3,Outlook,S0L 2V0
00611,4520312553273738,7-4,2025-10-19,Spring Wheat,36.3,9.7,Outlook,S0K 0M0
00612,4520956539989424,1-5,2025-09-13,Canola,41.8,14.7,Davidson,S0L 2V0
00613,4520253292327737,1-2,2025-08-11,Barley,30.4,13.4,Kindersley,S0L 2N0
00614,4520304816028059,6-3,2025-11-21,Canola,22.4,10.6,Davidson,S0G 1B0
00615,4520799230398167,9-5,2025-11-03,Spring Wheat,43.5,14.5,Biggar,S0L 2V0
00616,4520433361707518,5-15,2025-10-23,Oats,22.8,11.9,Biggar,S0L 1S0
00617,4520935750819901,2-11,2025-10-09,Oats,22.9,15.2,Rosetown,S0G 1B0
00618,4520534533340850,5-14,2025-10-04,Oats,34.2,10.4,Rosetown,S0L 2V0
00619,4520809545442121,1-5,2025-11-11,Canola,20.6,12.5,Davidson,S0G 1B0
00620,4520124310539176,6-1,2025-09-22,Peas,28.5,14.1,Biggar,S0L 2V0
