ticket_id,permit_book,lot_code,delivery_date,crop,weight_tonnes,moisture_pct,elevator,postal_code
00801,4520078649176428,4-8,2025-08-23,Barley,19.4,7.6,Rosetown,S7K 3J7
00802,4520097262728249,1-8,2025-10-08,Peas,22.3,10.2,Rosetown,S0L 1S0
00803,4520548915165265,6-4,2025-10-21,Canola,39.2,7.9,Davidson,S0G 1B0
00804,4520576832591040,4-9,2025-09-23,Spring Wheat,25.7,8.8,Outlook,S0K 0M0
00805,4520379199526676,2-2,2025-09-19,Oats,24.9,12.6,Davidson,S0G 1B0
00806,4520136170408861,2-11,2025-10-12,Canola,37.2,10.9,Outlook,S0L 1S0
00807,4520843744386315,9-2,2025-11-17,Spring Wheat,27.1,14.6,Kindersley,S0K 0M0
00808,4520596173239813,3-12,2025-09-27,Spring Wheat,30.3,tr,Outlook,S0L 1S0
00809,4520453619499839,6-9,2025-09-20,Peas,35.6,9.4,Outlook,S0L 2V0
00810,4520967223237235,3-10,2025-08-17,Barley,22.2,14.2,Davidson,S0L 1S0
00811,4520539792394460,9-13,2025-09-11,Canola,27.3,9.6,Biggar,S7K 3J7
00812,4520298652709051,3-12,2025-08-09,Spring Wheat,25.6,8.4,Kindersley,S0L 2N0
00813,4520437861857727,4-15,2025-11-12,Spring Wheat,43.9,12.8,Biggar,S0L 2N0
00814,4520769065326832,8-14,2025-10-23,Spring Wheat,32.9,12.2,Outlook,S0L 1S0
00815,4520017303904813,2-13,2025-11-22,Barley,27.6,12.7,Outlook,S0L 1S0
00816,4520435826004671,3-8,2025-08-04,Oats,19.6,8.2,Biggar,S0L 2V0
00817,4520910088808979,9-13,2025-09-26,Barley,35.6,13.1,Davidson,S0L 2V0
00818,4520939408313496,7-7,2025-10-20,Barley,35.6,11.5,Rosetown,S0L 2V0
00819,4520813661894450,5-1,2025-10-15,Oats,44.0,9.3,Outlook,S0L 2N0
00820,4520330110988509,2-11,2025-11-17,Canola,43.7,11.2,Biggar,S7K 3J7
